,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Date,23 Jan 2024,23 Jan 2024,23 Jan 2024,23 Jan 2024,23 Jan 2024,23 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,30 Jan 2024,30 Jan 2024,30 Jan 2024,30 Jan 2024,30 Jan 2024
Time ( UTC),07:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,12:00:00,15:00:00,18:00:00,21:00:00,00:00:00,03:00:00,06:00:00,09:00:00,12:00:00,15:00:00,18:00:00,21:00:00,00:00:00,03:00:00,06:00:00,09:00:00,12:00:00
visibility,24.14,18.32,20.48,22.92,24.13,24.13,24.13,24.13,24.14,24.13,24.13,24.13,24.13,24.13,24.14,24.13,24.13,24.13,24.13,24.13,24.13,24.14,24.13,24.13,24.14,24.14,24.14,24.13,24.13,24.14,24.14,24.14,24.14,24.13,24.13,24.13,24.14,24.13,24.14,24.14,24.14,24.14,24.13,24.14,24.14,24.14,24.14,24.13,24.13,24.14,24.14,24.14,24.13,24.13,24.14,24.13,24.13,24.13
windWaveDirection,274.8,233.62,222.2,219.55,224.65,228.46,246.04,255.15,253.8,256.85,252.69,256.8,261.02,228.76,263.14,257.96,177.77,177.21,255.94,246.0,250.3,261.74,318.76,293.95,245.21,35.63,27.64,27.95,17.89,3.02,45.8,57.62,65.39,78.98,94.92,67.14,105.9,96.11,144.17,191.63,181.36,161.43,158.94,186.6,189.11,170.31,76.94,136.27,90.23,78.73,64.66,57.25,353.73,43.53,49.87,53.19,53.61,57.5
windWaveHeight,1.88,1.46,2.0,2.46,2.67,3.33,4.25,3.96,3.04,2.46,1.76,3.11,3.73,2.06,4.03,3.55,1.28,1.3,2.91,2.47,2.88,2.97,1.4,2.17,0.65,0.9,1.1,0.82,0.84,0.77,0.46,0.44,0.56,0.72,0.79,0.56,0.81,1.12,0.79,0.6,0.6,0.6,0.64,0.77,0.63,0.63,0.61,0.36,0.79,0.64,0.49,0.51,0.25,0.35,0.41,0.43,0.51,0.53
currentSpeed,0.05832,0.01944,0.03888,0.21384,1.14696,1.18584,0.5637599999999999,0.42768,0.42768,0.17495999999999998,0.27216,0.17495999999999998,0.13608,0.19440000000000002,0.23328,0.09720000000000001,0.11664,0.09720000000000001,0.15552,0.23328,0.486,0.25272,0.31104,0.25272,0.19440000000000002,0.25272,0.21384,0.34991999999999995,0.36936,0.13608,0.25272,0.23328,0.38880000000000003,0.13608,0.38880000000000003,0.25272,0.31104,0.05832,0.25272,0.19440000000000002,0.52488,0.46656,0.36936,0.46656,0.23328,0.29159999999999997,0.11664,0.33048,0.21384,0.21384,0.21384,0.38880000000000003,0.46656,0.7776000000000001,0.5831999999999999,0.52488,0.50544,0.46656
currentDirection,121.83,92.99,314.81,213.64,234.26,235.65,253.99,258.05,276.43,277.12,282.05,322.66,82.89,44.72,54.71,147.17,207.36,252.48,223.48,183.8,267.34,287.99,331.53,344.47,211.07,252.87,321.3,39.17,98.84,145.17,199.89,5.68,330.56,213.39,270.93,326.49,22.25,358.25,7.92,148.37,233.54,180.02,149.15,234.42,354.04,91.43,319.64,115.73,149.5,125.78,186.91,124.02,310.31,68.77,342.72,159.83,47.54,12.48
Current factor,-0.05832,0.01884933540387479,-0.000891688146831271,-0.21379140254766504,-1.13890274465348,-1.1847222644244493,-0.563554866279798,-0.42708165961967737,-0.3991609926215798,-0.15947915738492568,-0.24690420896167709,-0.023621224001493246,0.12563359876607016,0.1871704242963972,0.2320903831215162,-0.031995330235350394,-0.11661075432380663,-0.07013184504008585,-0.14971902384895586,-0.212116629620823,-0.256462094152468,-0.04341695173090798,0.17180249319952168,0.18352542447988895,-0.19429957383439955,-0.18361371485173805,0.11420333243186676,0.2882270517546175,0.04655236787316497,-0.08528857774879839,-0.25225262736200094,0.22928597912853022,0.2864439113011237,-0.124590545026674,-0.13792791397910875,0.20203993145634058,0.29350857742891634,0.058111816051910736,0.251796211613291,-0.16027721433507836,-0.3387426010035064,-0.46595723136674216,-0.3529231119646159,-0.18208389187527807,0.23133909960498222,0.05804468691015252,0.06079534886284854,-0.04484242488051038,-0.09792699169376995,0.014264630891393182,-0.18561279680545972,0.008862432885999638,0.030629664272032286,0.6747155952858606,0.30213605701168866,-0.2654283096868202,0.5010620027048542,0.41241325233278303
Current Distance,-0.0,0.07539734161549916,-0.002675064440493813,-0.6413742076429951,-3.41670823396044,-3.554166793273348,-1.690664598839394,-1.281244978859032,-1.1974829778647393,-0.47843747215477705,-0.7407126268850313,-0.07086367200447974,0.3769007962982105,0.5615112728891916,0.6962711493645486,-0.09598599070605118,-0.3498322629714199,-0.21039553512025755,-0.44915707154686757,-0.636349888862469,-0.769386282457404,-0.13025085519272395,0.515407479598565,0.5505762734396669,-0.5828987215031987,-0.5508411445552142,0.34260999729560027,0.8646811552638525,0.1396571036194949,-0.25586573324639517,-0.7567578820860028,0.6878579373855906,0.859331733903371,-0.373771635080022,-0.41378374193732625,0.6061197943690217,0.880525732286749,0.1743354481557322,0.7553886348398731,-0.48083164300523507,-1.0162278030105192,-1.8638289254669687,-1.0587693358938477,-0.5462516756258342,0.6940172988149467,0.17413406073045756,0.18238604658854563,-0.13452727464153114,-0.29378097508130985,0.042793892674179546,-0.5568383904163792,0.026587298657998915,0.09188899281609686,2.0241467858575817,0.906408171035066,-0.7962849290604606,1.5031860081145627,1.237239756998349
Time Period,0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Good Weather,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Total Good Weather Period,No,No,WI,WI,WI,WI,WI,WI,WI,No,WI,WI,WI,WI,WI,WI,WI,No,WI,WI,WI,WI,WI,WI,WI,No,WI,WI,WI,WI,WA,WI,WI,No,WI,WI,WI,WI,WI,WI,WI,No,WI,WI,WI,WA,WA,WI,WI,No,CU,,WI,WI,WI,WI,WI,No
Daily Current Factor,0,0.01884933540387479,,,,,,,,-0.5109480969598008,,,,,,,,0.006953880452696293,,,,,,,,-0.08553750879498523,,,,,,,,0.06282261154397872,,,,,,,,-0.03718105301674712,,,,,,,,-0.03916658176809973,,,,,,,,0.1848472372501173
